TRIP_CODE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,SPCODE,COUNTS,SAMPVOL_L
NIN20101108,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,8,1.13112
NIN20101108,Paracalanus indicus m,COPEPOD,Copepod,Paracalanus,indicus,104683,1,0.56556
PHB20110619,Clausocalanus furcatus f,COPEPOD,Copepod,Clausocalanus,furcatus,104503,1,5.6556
PHB20110619,Harpacticoid j,COPEPOD,Copepod,,,1102,1,5.6556
PHB20110619,Lucicutia spp. j,COPEPOD,Copepod,Lucicutia,spp.,104183,1,5.6556
KAI20110718,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,104161,1,1.13112
NSI20120213,Clausocalanus spp. j,COPEPOD,Copepod,Clausocalanus,spp.,104161,1,0.622116
NSI20180913,Calanid CV,COPEPOD,Copepod,,,104079,1,0.622116
NSI20180913,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,104161,1,0.622116
NSI20180913,Farranula spp. m,COPEPOD,Copepod,Farranula,spp.,128636,1,0.622116
NSI20180913,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,116115,4,0.622116
NSI20180913,Nauplii calanoid,COPEPOD,Copepod,,,1100,37,0.622116
NSI20120213,Macrosetella gracilis f,COPEPOD,Copepod,Macrosetella,gracilis,116382,2,1.244232
NSI20120213,Macrosetella gracilis m,COPEPOD,Copepod,Macrosetella,gracilis,116382,1,0.622116
NSI20120213,Mecynocera clausi f,COPEPOD,Copepod,Mecynocera,clausi,104616,1,0.622116
NSI20180913,Nauplii harpacticoid,COPEPOD,Copepod,,,1102,20,0.622116
NSI20180913,Nauplii poecilostomatoida / cyclopoid,COPEPOD,Copepod,,,1103,49,0.622116
PHB20110619,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,21,5.6556
PHB20110619,Temora spp. j,COPEPOD,Copepod,Temora,spp.,104241,1,5.6556
PHB20110619,Temora turbinata m,COPEPOD,Copepod,Temora,turbinata,104880,2,5.6556
NSI20120213,Oncaea clevei complex f,COPEPOD,Copepod,Oncaea,clevei complex,354022,4,1.244232
NSI20120213,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,38,1.244232
NSI20180913,Oithona simplex f,COPEPOD,Copepod,Oithona,simplex,106657,2,0.622116
NSI20120213,Chaetognatha,NON-COPEPOD,Chaetognath,,,2081,19,1.244232
NSI20120213,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,5,1.244232
NSI20180913,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,128954,2,0.622116
NSI20180913,Oncaea zernovi complex f,COPEPOD,Copepod,Oncaea,zernovi complex,128955,2,0.622116
NSI20180913,Temora spp. j,COPEPOD,Copepod,Temora,spp.,104241,2,0.622116
NSI20120213,Egg,NON-COPEPOD,Egg,,,,11,1.244232
NSI20120213,Oikopleuridae,NON-COPEPOD,Appendicularian,,,103356,149,1.244232
NSI20120213,Polychaete,NON-COPEPOD,Polychaete,,,883,8,1.244232
NSI20120213,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,1,0.622116
NSI20120213,Thalia democratica agg,NON-COPEPOD,Thaliacean,Thalia,democratica,137279,1,0.622116
KAI20110718,Oithona nana f,COPEPOD,Copepod,Oithona,nana,106651,3,1.13112
KAI20110718,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,1,1.13112
MAI20110725,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,9,9.04896
NSI20120213,Centropages furcatus m,COPEPOD,Copepod,Centropages,furcatus,104495,1,0.622116
NSI20120213,Ditrichocorycaeus asiaticus m,COPEPOD,Copepod,Ditrichocorycaeus,asiaticus,358328,1,0.622116
NSI20120213,Oithona plumifera f,COPEPOD,Copepod,Oithona,plumifera,106652,2,0.622116
KAI20110718,Oikopleuridae,NON-COPEPOD,Appendicularian,,,103356,33,1.13112
NSI20180913,Chaetognatha,NON-COPEPOD,Chaetognath,,,2081,12,0.622116
YON20110217,Acartia (Odontacartia) pacifica f,COPEPOD,Copepod,Acartia (Odontacartia),pacifica,346059,1,0.735228
YON20110217,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,4,0.735228
YON20110217,Euchaeta spp. j,COPEPOD,Copepod,Euchaeta,spp.,104174,2,0.735228
YON20110217,Euterpina acutifrons m,COPEPOD,Copepod,Euterpina,acutifrons,116162,1,0.735228
YON20110217,Macrosetella gracilis m,COPEPOD,Copepod,Macrosetella,gracilis,116382,1,0.735228
YON20110217,Paracalanus spp. j,COPEPOD,Copepod,Paracalanus,spp.,104196,3,0.735228
YON20110217,Aglaura hemistoma,NON-COPEPOD,Cnidarian,Aglaura,hemistoma,117851,3,0.735228
NSI20180913,Eutima spp.,NON-COPEPOD,Cnidarian,Eutima,spp.,117082,1,0.622116
NSI20180913,Oikopleuridae,NON-COPEPOD,Appendicularian,,,103356,72,0.622116
NSI20181023,Calocalanus spp. j,COPEPOD,Copepod,Calocalanus,spp.,104193,2,0.622116
NSI20181023,Clausocalanus furcatus f,COPEPOD,Copepod,Clausocalanus,furcatus,104503,1,0.622116
NSI20181023,Corycaeus spp. j,COPEPOD,Copepod,Corycaeus,spp.,128634,4,0.622116
NSI20181023,Ctenocalanus vanus f,COPEPOD,Copepod,Ctenocalanus,vanus,104510,1,0.622116
NSI20181023,Microsetella norvegica m,COPEPOD,Copepod,Microsetella,norvegica,116115,6,0.622116
NSI20181023,Nauplii calanoid,COPEPOD,Copepod,,,1100,32,0.622116
NSI20181023,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,3,0.622116
NSI20181023,Oncaea media f,COPEPOD,Copepod,Oncaea,media,128938,1,0.622116
YON20110527,Acartia (Odontacartia) pacifica f,COPEPOD,Copepod,Acartia (Odontacartia),pacifica,346059,1,0.2940912
YON20110527,Corycaeidae j,COPEPOD,Copepod,,,128569,16,0.5881824
YON20110527,Eucalanus spp. j,COPEPOD,Copepod,Eucalanus,spp.,104171,1,0.2940912
NSI20181023,Creseis spp.,NON-COPEPOD,Mollusc,Creseis,spp.,137752,2,0.622116
NSI20181023,Limacina,NON-COPEPOD,Mollusc,Limacina,spp.,138122,4,0.622116
KAI20181204,Acartia (Acartiura) tranteri m,COPEPOD,Copepod,Acartia (Acartiura),tranteri,346042,2,0.56556
KAI20181204,Euterpina acutifrons j,COPEPOD,Copepod,Euterpina,acutifrons,116162,3,0.56556
KAI20181204,Euterpina acutifrons m,COPEPOD,Copepod,Euterpina,acutifrons,116162,6,0.56556
KAI20181204,Macrosetella gracilis m,COPEPOD,Copepod,Macrosetella,gracilis,116382,2,0.56556
KAI20181204,Microsetella rosea f,COPEPOD,Copepod,Microsetella,rosea,116116,4,0.56556
MAI20110725,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,2,6.78672
MAI20110725,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,2,6.334272
MAI20110725,Oncaea venusta venella no hump f,COPEPOD,Copepod,Oncaea,venusta venella no hump,363588,2,6.78672
MAI20110725,Echinoderm larvae,NON-COPEPOD,Echinoderm,,,1806,3,6.78672
NIN20101108,Megalope,NON-COPEPOD,Decapod,,,1066,1,0.56556
YON20181213,Magelona spp.,NON-COPEPOD,Polychaete,Magelona,spp.,129341,1,0.14139
YON20181213,Pluteus larva,NON-COPEPOD,Echinoderm,,,1806,10,0.14139
YON20181213,Polychaete larvae,NON-COPEPOD,Polychaete,,,883,6,0.14139
PHB20110717,Parvocalanus crassirostris m,COPEPOD,Copepod,Parvocalanus,crassirostris,360051,2,8.4834
PHB20110717,Euphausiid calyptope,NON-COPEPOD,Euphausiid,,,110671,2,8.4834
YON20110414,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,116162,2,0.2940912
YON20110414,Oithona nana f,COPEPOD,Copepod,Oithona,nana,106651,16,0.5881824
YON20110414,Oncaea clevei f,COPEPOD,Copepod,Oncaea,clevei,354022,3,0.5881824
PHB20110517,Mecynocera clausi f,COPEPOD,Copepod,Mecynocera,clausi,104616,5,16.9668
KAI20181204,Nauplii harpacticoid,COPEPOD,Copepod,,,1102,2,0.56556
KAI20181204,Paroithona spp. f,COPEPOD,Copepod,Paroithona,spp.,106486,3,0.56556
KAI20181204,Temora turbinata f,COPEPOD,Copepod,Temora,turbinata,104880,1,0.56556
KAI20181204,Bivalve,NON-COPEPOD,Mollusc,,,105,2,0.56556
YON20181213,Clausidiid j,COPEPOD,Copepod,,,128567,1,0.14139
YON20181213,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,104161,1,0.14139
YON20181213,Euterpina acutifrons m,COPEPOD,Copepod,Euterpina,acutifrons,116162,1,0.14139
YON20181213,Oithona nana f,COPEPOD,Copepod,Oithona,nana,106651,8,0.42417
YON20181213,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,3,0.42417
PHB20110517,Acrocalanus longicornis f,COPEPOD,Copepod,Acrocalanus,longicornis,104646,1,11.3112
PHB20110517,Pleuromamma gracilis m,COPEPOD,Copepod,Pleuromamma,gracilis,104639,1,5.6556
PHB20110717,Calocalanus spp. f,COPEPOD,Copepod,Calocalanus,spp.,104193,1,11.3112
PHB20110717,Euterpina acutifrons j,COPEPOD,Copepod,Euterpina,acutifrons,116162,4,22.6224
PHB20110717,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,116115,7,22.6224
PHB20110517,Fritillariidae,NON-COPEPOD,Appendicularian,,,103354,1,11.3112
ESP20101013,Oithona plumifera f,COPEPOD,Copepod,Oithona,plumifera,106652,5,1.527012
PHB20110517,Solmundella bitentaculata,NON-COPEPOD,Cnidarian,Solmundella,bitentaculata,117267,1,11.3112
ROT20101215,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,12,1.018008
ROT20101215,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,116162,1,0.509004
ROT20101215,Oithona nana f,COPEPOD,Copepod,Oithona,nana,106651,3,1.018008
ROT20101215,Dioithona rigida f,COPEPOD,Copepod,Dioithona,rigida,220943,23,1.527012
ROT20101215,Undinula vulgaris CV,COPEPOD,Copepod,Undinula,vulgaris,104473,1,0.509004
PHB20110717,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,104161,4,28.278
PHB20110717,Parvocalanus crassirostris f,COPEPOD,Copepod,Parvocalanus,crassirostris,360051,2,16.9668
KAI20110427,Oithona setigera f,COPEPOD,Copepod,Oithona,setigera,106655,2,113.112
KAI20110427,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,5,113.112
KAI20110427,Oncaea spp. f,COPEPOD,Copepod,Oncaea,spp.,128690,1,113.112
KAI20110427,Temora turbinata f,COPEPOD,Copepod,Temora,turbinata,104880,2,113.112
MAI20110407,Clausocalanus spp. j,COPEPOD,Copepod,Clausocalanus,spp.,104161,1,2.26224
MAI20110407,Ctenocalanus vanus f,COPEPOD,Copepod,Ctenocalanus,vanus,104510,3,2.26224
KAI20110427,Limacina,NON-COPEPOD,Mollusc,Limacina,spp.,138122,5,113.112
KAI20110427,Candacia simplex f,COPEPOD,Copepod,Candacia,simplex,220914,1,113.112
MAI20110407,Pleuromamma gracilis f,COPEPOD,Copepod,Pleuromamma,gracilis,104639,1,2.26224
MAI20110407,Pleuromamma gracilis m,COPEPOD,Copepod,Pleuromamma,gracilis,104639,1,2.26224
MAI20110407,Polychaete,NON-COPEPOD,Polychaete,,,883,2,2.26224
PHB20110420,Calocalanus spp. j,COPEPOD,Copepod,Calocalanus,spp.,104193,2,1.13112
PHB20110420,Clausocalanus spp. j,COPEPOD,Copepod,Clausocalanus,spp.,104161,1,1.13112
PHB20110420,Oithona decipiens/similis f,COPEPOD,Copepod,Oithona,decipiens/similis,106485,3,1.13112
PHB20110420,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,1,1.13112
PHB20110420,Decapod larvae,NON-COPEPOD,Decapod,,,1130,1,1.13112
NSI20120821,Limacina,NON-COPEPOD,Mollusc,Limacina,spp.,138122,10,1.244232
DAR20110627,Bestiolina similis f,COPEPOD,Copepod,Bestiolina,similis,346152,2,0.650394
PHB20110420,Acartia (Acartia) danae f,COPEPOD,Copepod,Acartia (Acartia),danae,346026,1,1.13112
PHB20110420,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,2,1.13112
PHB20110420,Onychocorycaeus agilis m,COPEPOD,Copepod,Onychocorycaeus,agilis,359743,1,1.13112
PHB20110420,Subeucalanus spp. j,COPEPOD,Copepod,Subeucalanus,spp.,104173,1,1.13112
DAR20110627,Microsetella spp. f,COPEPOD,Copepod,Microsetella,spp.,115341,2,0.650394
DAR20110627,Oithona simplex f,COPEPOD,Copepod,Oithona,simplex,106657,19,0.9105516
ROT20100820,Acartia (Acanthacartia) tonsa f,COPEPOD,Copepod,Acartia (Acanthacartia),tonsa,345943,16,0.509004
ROT20100820,Bestiolina similis f,COPEPOD,Copepod,Bestiolina,similis,346152,1,0.509004
ROT20100820,Calanoid j,COPEPOD,Copepod,,,1100,138,0.509004
NSI20120806,Calocalanus spp. f,COPEPOD,Copepod,Calocalanus,spp.,104193,3,0.622116
NSI20120806,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,116115,10,1.244232
NSI20120821,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,3,1.244232
NSI20120821,Calocalanus spp. j,COPEPOD,Copepod,Calocalanus,spp.,104193,3,0.622116
NSI20120821,Nannocalanus minor CV,COPEPOD,Copepod,Nannocalanus,minor,104469,1,0.622116
NSI20120821,Oithona decipiens/similis f,COPEPOD,Copepod,Oithona,decipiens/similis,106485,12,1.244232
NSI20120821,Temora spp. j,COPEPOD,Copepod,Temora,spp.,104241,4,1.244232
NSI20120821,Chaetognatha,NON-COPEPOD,Chaetognath,,,2081,10,1.244232
DAR20110627,Bivalve,NON-COPEPOD,Mollusc,,,105,3,0.9105516
DAR20110627,Cavoliniidae shell,NON-COPEPOD,Mollusc,,,23000,1,0.650394
DAR20110627,Limacina,NON-COPEPOD,Mollusc,Limacina,spp.,138122,3,0.9105516
ROT20100820,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,9,0.509004
ROT20100820,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,1,0.509004
ROT20100820,Gammarid amphipod,NON-COPEPOD,Amphipod,,,1207,1,0.509004
ROT20100820,Oikopleuridae,NON-COPEPOD,Appendicularian,,,103356,39,0.509004
NSI20120806,Microsetella rosea f,COPEPOD,Copepod,Microsetella,rosea,116116,1,0.622116
NSI20120806,Nauplii harpacticoid,COPEPOD,Copepod,,,1102,2,0.622116
NSI20120806,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,6,1.244232
NSI20120806,Temora spp. j,COPEPOD,Copepod,Temora,spp.,104241,3,1.244232
NSI20120806,Chaetognatha,NON-COPEPOD,Chaetognath,,,2081,2,1.244232
NSI20120806,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,2,0.622116
NSI20120806,Echinoderm larvae,NON-COPEPOD,Echinoderm,,,1806,1,0.622116
ROT20101124,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,7,0.509004
ROT20101124,Acartia (Acanthacartia) tonsa f,COPEPOD,Copepod,Acartia (Acanthacartia),tonsa,345943,2,0.509004
NSI20110606,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,9,1.244232
NSI20110606,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,104161,2,0.622116
KAI20110319,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,116162,35,12.44232
KAI20110319,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,3,5.6556
NSI20110323,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,2,1.866348
NSI20110323,Cosmocalanus darwinii f,COPEPOD,Copepod,Cosmocalanus,darwinii,361259,3,1.244232
NSI20110323,Eucalanidae j,COPEPOD,Copepod,,,104085,1,1.244232
NSI20110323,Cavoliniidae body,NON-COPEPOD,Mollusc,,,23000,1,1.244232
NSI20110323,Limacina,NON-COPEPOD,Mollusc,Limacina,spp.,138122,13,1.866348
NSI20110323,Thalia democratica sol,NON-COPEPOD,Thaliacean,Thalia,democratica,137279,2,1.244232
ROT20100723,Canthocalanus pauper f,COPEPOD,Copepod,Canthocalanus,pauper,220834,1,0.509004
ROT20100723,Oithona longispina f,COPEPOD,Copepod,Oithona,longispina,106649,2,0.509004
ROT20100723,Oncaea venusta venella f,COPEPOD,Copepod,Oncaea,venusta venella,363588,1,0.509004
ROT20100924,Doliolum nationalis,NON-COPEPOD,Thaliacean,Doliolum,nationalis,137247,1,0.509004
ROT20101124,Calocalanus spp. j,COPEPOD,Copepod,Calocalanus,spp.,104193,5,0.509004
ROT20101124,Oithona plumifera f,COPEPOD,Copepod,Oithona,plumifera,106652,2,0.509004
ROT20101124,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,7,0.509004
ROT20101124,Asteroidea larvae,NON-COPEPOD,Echinoderm,,,123080,1,0.509004
ROT20101124,Evadne spinifera f,NON-COPEPOD,Cladoceran,Evadne,spinifera,106274,4,0.509004
ROT20101124,Trochophore larvae,NON-COPEPOD,Polychaete,,,882,1,0.509004
NSI20110606,Corycaeidae j,COPEPOD,Copepod,,,128569,9,1.244232
NSI20110606,Eucalanidae j,COPEPOD,Copepod,,,104085,3,0.622116
NSI20110606,Euchaeta rimana m,COPEPOD,Copepod,Euchaeta,rimana,346444,1,0.622116
NSI20110606,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,116115,8,1.866348
NSI20110606,Microsetella rosea f,COPEPOD,Copepod,Microsetella,rosea,116116,2,0.622116
NSI20110606,Oithona decipiens/similis f,COPEPOD,Copepod,Oithona,decipiens/similis,106485,3,1.866348
NSI20110606,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,59,1.244232
NSI20110606,Oncaea clevei f,COPEPOD,Copepod,Oncaea,clevei,354022,3,1.866348
NSI20110606,Bassia bassensis,NON-COPEPOD,Cnidarian,Bassia,bassensis,135404,1,0.622116
NSI20110606,Farranula spp. m,COPEPOD,Copepod,Farranula,spp.,128636,1,0.622116
NSI20110606,Oithona plumifera f,COPEPOD,Copepod,Oithona,plumifera,106652,1,0.622116
NSI20110606,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,1,0.622116
MAI20110328,Copepod damaged / unidentified,COPEPOD,Copepod,,,1080,1,0.904896
MAI20110328,Oncaea spp.,COPEPOD,Copepod,Oncaea,spp.,128690,2,0.904896
MAI20110328,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,6,2.714688
MAI20110328,Oncaea venusta complex m,COPEPOD,Copepod,Oncaea,venusta complex,128954,17,2.714688
MAI20110328,Paracalanus spp. f,COPEPOD,Copepod,Paracalanus,spp.,104196,2,0.904896
MAI20110328,Decapod larvae,NON-COPEPOD,Decapod,,,1130,6,2.714688
MAI20110328,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,1,1.809792
KAI20110319,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,101,6.78672
YON20110323,Calanoid j,COPEPOD,Copepod,,,1100,236,0.2940912
YON20110323,Undinula vulgaris m,COPEPOD,Copepod,Undinula,vulgaris,104473,1,0.2940912
YON20110323,Lucifer spp.,NON-COPEPOD,Decapod,Lucifer,spp.,106827,1,0.2940912
PHB20110329,Onychocorycaeus catus m,COPEPOD,Copepod,Onychocorycaeus,catus,128816,1,1.13112
PHB20110329,Eucalanidae j,COPEPOD,Copepod,,,104085,3,1.13112
PHB20110329,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,1,1.13112
PHB20110329,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,1,1.13112
PHB20110329,Oithona plumifera f,COPEPOD,Copepod,Oithona,plumifera,106652,1,1.13112
NSI20110623,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,116162,3,1.244232
NSI20110623,Paracalanus aculeatus m,COPEPOD,Copepod,Paracalanus,aculeatus,104681,1,0.622116
KAI20110319,Limacina,NON-COPEPOD,Mollusc,Limacina,spp.,138122,1,5.6556
NSI20110623,Flaccisagitta enflata,NON-COPEPOD,Chaetognath,Flaccisagitta,enflata,105434,1,0.622116
YON20110414,Candacia spp. j,COPEPOD,Copepod,Candacia,spp.,104157,2,0.2940912
YON20110414,Corycaeus crassiusculus f,COPEPOD,Copepod,Corycaeus,crassiusculus,128799,1,0.2940912
YON20110414,Corycaeidae j,COPEPOD,Copepod,,,128569,4,0.2940912
YON20110414,Oithona longispina f,COPEPOD,Copepod,Oithona,longispina,106649,1,0.2940912
YON20110414,Cavoliniidae shell,NON-COPEPOD,Mollusc,,,23000,1,0.2940912
MAI20110531,Mecynocera clausi f,COPEPOD,Copepod,Mecynocera,clausi,104616,3,9.04896
MAI20110531,Microsetella rosea f,COPEPOD,Copepod,Microsetella,rosea,116116,1,2.26224
PHB20110829,Oithona decipiens/similis f,COPEPOD,Copepod,Oithona,decipiens/similis,106485,7,2.26224
PHB20110829,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,12,3.39336
PHB20110829,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,4,3.39336
NSI20120511,Calocalanus spp. j,COPEPOD,Copepod,Calocalanus,spp.,104193,1,0.622116
NSI20120511,Clausocalanus jobei f (>1.2mm),COPEPOD,Copepod,Clausocalanus,jobei,104504,4,1.244232
NSI20120511,Clausocalanus spp. j,COPEPOD,Copepod,Clausocalanus,spp.,104161,2,0.622116
NSI20120511,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,104161,2,0.622116
NSI20120511,Ctenocalanus vanus f,COPEPOD,Copepod,Ctenocalanus,vanus,104510,2,1.244232
NSI20120511,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,7,1.244232
NSI20120511,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,4,1.244232
NSI20120511,Paracalanus aculeatus m,COPEPOD,Copepod,Paracalanus,aculeatus,104681,3,1.244232
NSI20120511,Egg,NON-COPEPOD,Egg,,,,3,1.244232
NSI20120511,Limacina,NON-COPEPOD,Mollusc,Limacina,spp.,138122,8,1.244232
NSI20120511,Ostracod,NON-COPEPOD,Ostracod,,,1078,3,1.244232
NSI20120620,Microsetella rosea f,COPEPOD,Copepod,Microsetella,rosea,116116,1,0.622116
NSI20120620,Oncaea media f,COPEPOD,Copepod,Oncaea,media,128938,4,1.244232
NSI20120620,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,15,1.244232
NSI20120620,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,9,1.244232
NSI20111013,Clausocalanus spp. j,COPEPOD,Copepod,Clausocalanus,spp.,104161,2,0.622116
NSI20111013,Delibus nudus f,COPEPOD,Copepod,Delibus,nudus,363905,4,0.622116
NSI20111013,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,116162,8,1.244232
NSI20111013,Euterpina acutifrons j,COPEPOD,Copepod,Euterpina,acutifrons,116162,6,1.244232
NSI20111013,Oithona nana f,COPEPOD,Copepod,Oithona,nana,106651,10,1.244232
NSI20111013,Oncaea scottodicarloi f,COPEPOD,Copepod,Oncaea,scottodicarloi,128950,3,1.244232
NSI20111013,Oncaea spp. m,COPEPOD,Copepod,Oncaea,spp.,128690,13,1.244232
NSI20111013,Sapphirina spp. j,COPEPOD,Copepod,Sapphirina,spp.,128722,1,0.622116
NSI20111013,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,109921,66,1.244232
NSI20111013,Leptothecata,NON-COPEPOD,Cnidarian,,,13552,1,0.622116
NSI20111013,Limacina,NON-COPEPOD,Mollusc,Limacina,spp.,138122,6,1.244232
NSI20111116,Calanoid j,COPEPOD,Copepod,,,1100,103,1.244232
NSI20111116,Ditrichocorycaeus spp. m,COPEPOD,Copepod,Ditrichocorycaeus,spp.,128635,1,0.622116
NSI20111116,Nauplii poecilostomatoida / cyclopoid,COPEPOD,Copepod,,,1103,3,1.244232
NSI20111116,Oithona setigera f,COPEPOD,Copepod,Oithona,setigera,106655,15,1.244232
NSI20111116,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,49,1.244232
NSI20111116,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,2,0.622116
NSI20111116,Paracalanus indicus m,COPEPOD,Copepod,Paracalanus,indicus,104683,1,0.622116
NSI20120620,Euterpina acutifrons j,COPEPOD,Copepod,Euterpina,acutifrons,116162,1,0.622116
ROT20110923,Acartia (Acanthacartia) tonsa m,COPEPOD,Copepod,Acartia (Acanthacartia),tonsa,345943,3,1.018008
ROT20110923,Oncaea scottodicarloi f,COPEPOD,Copepod,Oncaea,scottodicarloi,128950,5,1.018008
YON20110811,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,4,5.881824
YON20110811,Ditrichocorycaeus asiaticus f,COPEPOD,Copepod,Ditrichocorycaeus,asiaticus,358328,1,1.470456
YON20110811,Nauplii calanoid,COPEPOD,Copepod,,,1100,87,6.617052
YON20110811,Oithona nana f,COPEPOD,Copepod,Oithona,nana,106651,1,1.470456
NSI20120821,Oithona tenuis f,COPEPOD,Copepod,Oithona,tenuis,106658,1,0.622116
YON20110811,Delibus nudus f,COPEPOD,Copepod,Delibus,nudus,363905,1,4.411368
YON20110811,Euterpina acutifrons j,COPEPOD,Copepod,Euterpina,acutifrons,116162,1,4.411368
YON20110811,Fritillariidae,NON-COPEPOD,Appendicularian,,,103354,6,5.146596
YON20110811,Microsetella spp. f,COPEPOD,Copepod,Microsetella,spp.,115341,2,0.735228
NSI20120821,Egg,NON-COPEPOD,Egg,,,,1,0.622116
MAI20111005,Oithona attenuata stocky f,COPEPOD,Copepod,Oithona,attenuata stocky,220944,1,2.26224
MAI20111005,Trochophore larvae,NON-COPEPOD,Polychaete,,,882,2,3.167136
MAI20111005,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,1,2.26224
MAI20111005,Physonectae,NON-COPEPOD,Cnidarian,,,135335,5,2.26224
KAI20111026,Centropages spp. j,COPEPOD,Copepod,Centropages,spp.,104159,2,2.8278
KAI20111026,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,4,2.8278
KAI20111026,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,9,2.8278
KAI20111026,Chaetognatha,NON-COPEPOD,Chaetognath,,,2081,1,2.8278
PHB20111117,Ctenocalanus spp. j,COPEPOD,Copepod,Ctenocalanus,spp.,104162,1,2.8278
PHB20111117,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,2,2.8278
PHB20111117,Oncaea venusta venella no hump f,COPEPOD,Copepod,Oncaea,venusta venella no hump,363588,1,2.8278
PHB20111117,Penilia avirostris f gravid,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,22,3.95892
NSI20110816,Acrocalanus spp. m,COPEPOD,Copepod,Acrocalanus,spp.,104192,1,0.622116
NSI20110816,Calocalanus spp. f,COPEPOD,Copepod,Calocalanus,spp.,104193,1,0.622116
NSI20110816,Oncaea media f,COPEPOD,Copepod,Oncaea,media,128938,5,1.244232
